a2,c4,c6,c7,c8,c9,c10,c11,c13,c152,c162,c172,c30a,d30a,d30b,d2
Southeast,,Yes,1,60,1,Yes,1,,No,,,3,3,2,707381648000
Southeast,,Yes,2,60,,No,,,No,,,3,3,3,474608000000
Southeast,,Yes,,,,No,,,No,,,1,1,1,731948000
Southeast,,Yes,,,,Yes,2,5,No,,,3,3,0,502825456000
Southeast,,No,,,,No,,,No,,,0,1,1,133002502000
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,3,1,2,12763443000
Red River Delta,,Yes,2,630,,,,,No,,,3,2,3,22914500000
Mekong River Delta,,No,,,,Yes,35,,No,,,0,0,0,55016000000
Red River Delta,,Yes,3,240,0,Yes,,,No,,,0,0,0,183708000000
Red River Delta,,Yes,0,,,Yes,10,,No,,,1,2,1,35000000000
Southeast,,No,,,,No,,,No,,,0,0,0,140870764000
Red River Delta,,No,,,,Yes,,,No,,,2,0,0,428695053000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,120,,Yes,5,,No,,,0,0,1,29693423000
Southeast,,No,,,,No,,,No,,,4,1,0,46259922000
Southeast,,Yes,2,5,,Yes,2,,No,,,0,0,0,52220965000
Red River Delta,,Yes,0,,,Yes,30,,No,,,0,3,3,60000000000
Red River Delta,,Yes,2,,,No,,,No,,,0,0,0,169750000000
Southeast,,Yes,6,150,12,No,,,No,,,2,1,0,2171139000
Southeast,,Yes,1,240,,Yes,2,,No,,,0,2,2,1393000000
Southeast,,No,,,,No,,,No,,,3,1,0,13541235000
Southeast,,Yes,2,5,,Yes,2,,No,,,0,1,0,143766565000
Mekong River Delta,,Yes,1,240,,No,,,No,,,1,1,1,339751000000
Southeast,,Yes,1,145,5,No,,,No,,,4,2,0,6725152000
Red River Delta,,Yes,1,740,,,,,No,,,3,1,2,129998000000
Mekong River Delta,,No,,,,No,,,No,,,1,1,0,4160000000
Southeast,,Yes,1,6,,Yes,3,,No,,,0,0,0,100200052000
Mekong River Delta,,Yes,1,181,,No,,,No,,,2,0,0,22342000000
Southeast,,Yes,3,30,5,No,,,No,,,0,0,0,371720000
Southeast,,Yes,2,10,,Yes,1,,No,,,0,0,0,132706549000
Mekong River Delta,,No,,,,No,,,No,,,4,3,2,23345000000
Mekong River Delta,,Yes,2,270,1,Yes,,,Yes,10,,1,0,0,1503764000000
Southeast,,Yes,1,240,,No,,,No,,,0,2,2,30525000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,280848000000
Southeast,,Yes,1,5,,Yes,1,,No,,,0,1,0,80708171000
Southeast,,Yes,1,180,,No,,,No,,,0,0,0,4652472000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,232636000
Southeast,,Yes,1,5,,Yes,1,,No,,,0,1,0,3114118000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,101117000000
Southeast,,Yes,1,5,,Yes,2,,No,,,0,1,0,93515439000
Mekong River Delta,,Yes,1,300,,No,,,No,,,1,1,1,14800000000
Red River Delta,,No,,,,No,,,No,,,4,3,0,17469137000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,1152000000
Southeast,,Yes,1,270,12,No,,,No,,,3,0,0,83286324000
Southeast,,No,,,,No,,,No,,,0,0,0,76634452000
Red River Delta,,Yes,2,150,,No,,,No,,,1,1,1,38840000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,520000000
Southeast,,Yes,1,1440,20,No,,,No,,,3,2,0,10173061000
Southeast,,Yes,4,50,10,No,,,No,,,3,1,1,5006282000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,36900000000
Mekong River Delta,,Yes,1,1,,No,,,No,,,3,1,0,246867036000
Southeast,,Yes,1,490,,No,,,No,,,1,1,0,45345994000
Mekong River Delta,,No,,,,Yes,,,No,,,0,0,1,23599000000
Southeast,,Yes,1,60,1,No,,,No,,,3,2,0,80528344000
Mekong River Delta,,No,,,,No,,,No,,,3,3,,5000000000
Southeast,,Yes,0,,,No,,,No,,,1,1,1,28000000000
Red River Delta,,Yes,1,360,1,No,,,No,,,3,1,0,14000000000
Mekong River Delta,,No,,,,No,,,No,,,1,1,0,61841000000
Southeast,,No,,,,No,,,No,,,0,0,0,3898000000
Southeast,,Yes,1,45,,Yes,1,,No,,,1,3,1,140342252000
Southeast,,Yes,1,15,,No,,1,No,,,0,0,0,5328724000
Red River Delta,,Yes,3,150,,Yes,100,,No,,,0,3,2,3997359000
Red River Delta,,Yes,0,,,Yes,20,,No,,,3,2,1,280000000000
Southeast,,No,,,,Yes,,,No,,,0,0,0,237449231000
Southeast,,Yes,1,10,,Yes,1,,No,,,0,0,0,277848434000
Red River Delta,5,Yes,1,360,1,No,,,No,,,1,2,1,100000000000
"Northern Central region, the Central Coast, Central Highlands",1,Yes,1,240,,Yes,5,2,No,,,0,0,0,94082208000
"Northern Central region, the Central Coast, Central Highlands",,Yes,0,,,No,,,No,,,1,1,0,2000000000
Red River Delta,,Yes,1,210,,Yes,100,,No,,,1,1,1,360615000000
Mekong River Delta,,No,,,,No,,,No,,,0,1,0,3434000000
Mekong River Delta,,Yes,1,15,,No,,,No,,,3,2,2,6175610000
Southeast,,Yes,2,30,,No,,,No,,,1,0,0,129280916000
Red River Delta,,No,,,,No,,,No,,,0,0,0,9480000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,1200000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,1,55716000000
Mekong River Delta,,No,,,,No,,,No,,,0,0,0,5600000000
